seloger_quartier,code_postal,Nombre de pièces,Époque de construction,LNM - Loyer de référence,LNM - Loyer de référence majoré,LNM - Loyer de référence minoré,LM - Majoration unitaire du loyer de référence,LM - Loyer de référence,LM - Loyer de référence majoré,LM - Loyer de référence minoré
Préfecture,38000,2,1946-1970,12.495131001988273,14.994157202385928,8.79610480159062,0.8990262003976547,13.394157202385928,16.093183402783584,9.396104801590619
Saint Laurent,38000,2,1946-1970,12.01303154380111,14.416138061192688,8.409925026409534,0.8031065173915771,12.816138061192689,15.419244578584266,9.009925026409533
Abbaye,38100,2,1946-1970,12.012664111701154,14.415748942181915,8.409579281220392,0.8030848304807616,12.815748942181918,15.418833772662678,9.009579281220393
Abry,38100,2,1946-1970,12.006715012219098,14.408393765273871,8.405036259164323,0.801678753054774,12.808393765273872,15.410072518328645,9.005036259164322
Allies-Clos d'Or,38100,2,1946-1970,12.00144937534719,14.40173925041663,8.401159500277753,0.8002898750694383,12.801739250416631,15.402029125486068,9.001159500277753
Arlequin,38100,2,1946-1970,12.28640823619717,14.758010295246462,8.614806177147877,0.8716020590492923,13.158010295246463,15.829612354295755,9.214806177147878
Antiquaire - Notre Dame ,38000,2,1971-1990,13.298334345840017,15.997917932300021,9.29895896615001,0.9,14.198334345840015,16.99812613907002,9.898958966150012
Berriat-Ampere,38000,2,1971-1990,12.519631319841405,15.024539149801756,8.81226957490088,0.9,13.419631319841406,16.122085234821583,9.412269574900877
Centre-ville - Victor Hugo,38000,2,1971-1990,13.282585805890088,15.978232257362608,9.289116128681306,0.8999999999999999,14.182585805890087,16.980409031626348,9.889116128681305
Championnet-Caserne de Bonne,38000,2,1971-1990,13.292036368132369,15.990045460165462,9.295022730082731,0.9,14.192036368132369,16.991040914148915,9.895022730082731
Hoche,38000,2,1971-1990,12.510012960913528,15.012516201141912,8.806258100570956,0.8999999999999999,13.410012960913528,16.111264581027722,9.406258100570955
Ile Verte,38000,2,1971-1990,13.283735238576638,15.979669048220796,9.289834524110397,0.9,14.183735238576634,16.981702143398717,9.8898345241104
Mutualité,38000,2,1971-1990,13.289256495644418,15.986570619555522,9.293285309777762,0.9,14.189256495644416,16.98791355759997,9.893285309777761
Préfecture,38000,2,1971-1990,13.292209603181238,15.990262003976547,9.295131001988274,0.9,14.192209603181237,16.991235803578892,9.895131001988274
Saint Laurent,38000,2,1971-1990,12.504843793878415,15.006054742348018,8.80302737117401,0.9,13.404843793878415,16.10544926811322,9.40302737117401
Abbaye,38100,2,1971-1990,12.502598318224864,15.00324789778108,8.80162394889054,0.9,13.402598318224864,16.102923108002972,9.40162394889054
Abry,38100,2,1971-1990,12.5,15.000000000000002,8.8,0.9,13.4,16.1,9.400000000000002
Allies-Clos d'Or,38100,2,1971-1990,12.502319000555506,15.002898750694383,8.801449375347191,0.9,13.402319000555506,16.102608875624945,9.401449375347191
Arlequin,38100,2,1971-1990,12.5,15.0,8.8,0.9,13.4,16.1,9.4
Antiquaire - Notre Dame ,38000,2,après 1990,13.798334345840017,16.59791793230002,9.698750759380012,0.9997917932300021,14.798126139070018,17.797709725530023,10.398542552610015
Berriat-Ampere,38000,2,après 1990,13.019775829368081,15.6247197867101,9.114831872026059,0.9024539149801757,13.922229744348256,16.727173701690276,9.717285787006237
Centre-ville - Victor Hugo,38000,2,après 1990,13.782585805890086,16.578232257362608,9.686939354417564,0.9978232257362608,14.780409031626348,17.77605548309887,10.384762580153826
Championnet-Caserne de Bonne,38000,2,après 1990,13.79203636813237,16.590045460165463,9.694027276099277,0.9990045460165461,14.791040914148915,17.789050006182006,10.393031822115825
Hoche,38000,2,après 1990,13.010012960913528,15.612516201141911,9.107509720685146,0.9012516201141912,13.911264581027721,16.713767821256102,9.708761340799338
Ile Verte,38000,2,après 1990,13.788466347959305,16.585582934949134,9.691349760969478,0.9979669048220795,14.786433252781384,17.78354983977121,10.389316665791558
Mutualité,38000,2,après 1990,13.790089753258076,16.587612191572596,9.692567314943556,0.9986570619555521,14.788746815213628,17.786269253528147,10.391224376899109
Préfecture,38000,2,après 1990,13.792209603181238,16.590262003976548,9.694157202385927,0.9990262003976547,14.791235803578893,17.789288204374202,10.393183402783583
Saint Laurent,38000,2,après 1990,13.014847966505515,15.618559958131895,9.111135974879137,0.9006054742348018,13.915453440740318,16.719165432366694,9.711741449113939
Abbaye,38100,2,après 1990,13.013638481035478,15.617048101294348,9.110228860776608,0.900324789778108,13.913963270813587,16.717372891072454,9.710553650554717
Abry,38100,2,après 1990,13.006715012219097,15.608393765273872,9.105036259164322,0.9,13.906715012219099,16.708393765273872,9.705036259164322
Allies-Clos d'Or,38100,2,après 1990,13.002319000555506,15.602898750694383,9.10173925041663,0.9002898750694383,13.902608875624944,16.703188625763822,9.702029125486067
Arlequin,38100,2,après 1990,13.28640823619717,15.958010295246462,9.314806177147878,0.9,14.18640823619717,17.05801029524646,9.914806177147877
Antiquaire - Notre Dame ,38000,3,avant 1946,11.298750759380013,13.598334345840016,7.899167172920009,0.7997917932300022,12.098542552610013,14.498334345840016,8.498958966150012
Berriat-Ampere,38000,3,avant 1946,10.71483187202606,12.81977582936808,7.5098879146840405,0.7024900423618445,11.417321914387905,13.71981195674975,8.012377957045883
