conseil_de_quartier,prop_at_flood_risk,mean,median,mode,std,mean_delta,median_delta,mode_delta,0.0_delta,0.1_delta,0.25_delta,0.5_delta,0.75_delta,0.9_delta,1.0_delta
ALIGRE - GARE DE LYON,0.7288932145386657,0.7288932145386657,1.0,1.0,0.44453109715536926,-0.27110678546133427,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
ALLERAY - PROCESSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AUTEUIL NORD,0.3477234866960082,0.3477234866960082,0.0,0.0,0.47624769132876565,0.3477234866960082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
VAUGIRARD - PARC DES EXPOSITIONS,0.48503402554943115,0.48503402554943115,0.0,0.0,0.4997759694190437,0.48503402554943115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BEL - AIR SUD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LOUVRE - OPERA,0.3130512806150453,0.3130512806150453,0.0,0.0,0.46373502813603096,0.3130512806150453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
VALLEE DE FECAMP,0.057476447869414436,0.057476447869414436,0.0,0.0,0.23275073750630507,0.057476447869414436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CAMBRONNE - GARIBALDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HALLES - BEAUBOURG - MONTORGUEIL,0.043596025393606776,0.043596025393606776,0.0,0.0,0.2041945444018688,0.043596025393606776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MUETTE NORD,0.045564735943274245,0.045564735943274245,0.0,0.0,0.20853918284508055,0.045564735943274245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PORTE DES LILAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EMERIAU - ZOLA,0.8623837413692984,0.8623837413692984,1.0,1.0,0.34449676920283223,-0.1376162586307016,-0.0,-0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
PORTE SAINT-DENIS - PARADIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GEORGES BRASSENS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MONTMARTRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ROSA PARKS - MACDONALD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
