code_postal,rooms,epoque,furnished,ref,refmaj,refmin
75016,3,inf1946,meuble,28.610204197865464,34.332251602652356,20.027139466707197
75017,3,inf1946,meuble,28.784424962894967,34.53613309503959,20.156637534691573
75018,3,inf1946,meuble,25.82701543314714,30.991552212152204,18.08929337584066
75019,3,inf1946,meuble,24.121100514323707,28.92153079090553,16.90141383582471
75020,3,inf1946,meuble,24.579468641053495,29.475478161361245,17.215603447995274
75116,3,inf1946,meuble,28.610204197865464,34.332251602652356,20.027139466707197
75001,3,inf1946,non-meuble,27.26328266422475,32.73782487922649,19.07882143658135
75002,3,inf1946,non-meuble,26.59806913421845,31.892938175577566,18.58441670433243
75003,3,inf1946,non-meuble,26.199229550153873,31.39913224043559,18.299499500415134
75004,3,inf1946,non-meuble,27.743157000158135,33.31058277954024,19.4022592958886
75005,3,inf1946,non-meuble,25.82617192325999,30.964087941184843,18.050935381550605
75006,3,inf1946,non-meuble,28.1756472038471,33.83469224670479,19.716958756997418
75007,3,inf1946,non-meuble,27.996645882581507,33.59600790765203,19.597665773160298
75008,3,inf1946,non-meuble,27.414986457363803,32.93184515144523,19.189641110537053
75009,3,inf1946,non-meuble,24.847838300223618,29.797402441735,17.398498945023583
75010,3,inf1946,non-meuble,23.853867411862275,28.605256257201265,16.70255142494502
75011,3,inf1946,non-meuble,24.482503649780348,29.379007677546312,17.137753680335333
75012,3,inf1946,non-meuble,22.119134513040976,26.541331086237193,15.481773318174426
75013,3,inf1946,non-meuble,22.872207767564312,27.440479623020227,16.01490635586379
75014,3,inf1946,non-meuble,24.14694448913994,28.974722334156144,16.895326500150098
75015,3,inf1946,non-meuble,24.42800183947995,29.317319170602467,17.08665211230165
75016,3,inf1946,non-meuble,25.088217285653265,30.110244616415308,17.566129462316535
75017,3,inf1946,non-meuble,25.258565559745428,30.31029206892312,17.681009295543447
75018,3,inf1946,non-meuble,22.635663932443485,27.182021958484984,15.875444796741608
75019,3,inf1946,non-meuble,21.120854746860743,25.32122352040295,14.80122957140137
75020,3,inf1946,non-meuble,21.524620417576045,25.806943011236655,15.074442151164973
75116,3,inf1946,non-meuble,25.088217285653265,30.110244616415308,17.566129462316535
75001,3,1946-1970,meuble,25.508046733366207,30.620508813285145,17.839238474778536
75002,3,1946-1970,meuble,25.979121994278994,31.178741154789154,18.17969325351375
75003,3,1946-1970,meuble,25.99795696731503,31.197541528584793,18.198579274345494
75004,3,1946-1970,meuble,25.926335624363478,31.126299539848024,18.126389751136667
75005,3,1946-1970,meuble,25.56038426272647,30.666209178803687,17.885974404863028
75006,3,1946-1970,meuble,28.219948434967304,33.859895435642834,19.740004601002802
75007,3,1946-1970,meuble,31.69566205845491,37.99487407051135,22.1969310434614
75008,3,1946-1970,meuble,27.45790470367554,32.96333692087255,19.199702881520146
75009,3,1946-1970,meuble,24.549894055956134,29.4498666057872,17.19995715117208
75010,3,1946-1970,meuble,23.583290749686434,28.279955230393064,16.538294055090105
75011,3,1946-1970,meuble,23.823701720303823,28.56844802248762,16.682474636254657
75012,3,1946-1970,meuble,22.738033450808565,27.293771490432675,15.926505293714571
75013,3,1946-1970,meuble,22.419940993531156,26.896395701878454,15.696968588757416
75014,3,1946-1970,meuble,23.913986763439585,28.689567511095877,16.73871591866736
75015,3,1946-1970,meuble,24.916070247801354,29.928100952107133,17.429387061973138
75016,3,1946-1970,meuble,28.773918245013967,34.54431889031469,20.1378351991742
75017,3,1946-1970,meuble,26.24477145381239,31.47373559097884,18.363517062503607
75018,3,1946-1970,meuble,22.069278173834736,26.47499864232989,15.490359214348194
75019,3,1946-1970,meuble,20.63586053649651,24.75066140091514,14.46365923986857
75020,3,1946-1970,meuble,21.259558078512082,25.502147444582565,14.89562377096192
75116,3,1946-1970,meuble,28.773918245013967,34.54431889031469,20.1378351991742
75001,3,1946-1970,non-meuble,22.351470277278956,26.786460115792647,15.66060483060713
75002,3,1946-1970,non-meuble,22.779312414023913,27.359862556389793,15.979788463386207
75003,3,1946-1970,non-meuble,22.798233926468523,27.397850946574717,15.998717753922241
75004,3,1946-1970,non-meuble,22.726359680707116,27.252839643132422,15.926401779308483
75005,3,1946-1970,non-meuble,22.42315271440288,26.928837034845245,15.717338888258128
75006,3,1946-1970,non-meuble,24.739965060423447,29.67999422553742,17.340003039524778
75007,3,1946-1970,non-meuble,27.796209094918265,33.39531758706981,19.497238034342036
75008,3,1946-1970,non-meuble,24.074622416023757,28.849604009295387,16.847027129068668
75009,3,1946-1970,non-meuble,21.499913416069088,25.77491384782437,15.074934261360438
75010,3,1946-1970,non-meuble,20.686524540116956,24.834754355756022,14.489938653063723
