cq,rooms,epoque,furnished,ref,refmaj,refmin
FLANDRE - AUBERVILLIERS,1,inf1946,non-meuble,27.3000233335855,32.80002763121497,19.100016578169466
SAINT - VICTOR,1,inf1946,non-meuble,32.89012840753545,39.48793411751023,22.99305367546092
ALIGRE - GARE DE LYON,1,inf1946,non-meuble,29.599944654868715,35.49993461590311,20.699962288468747
ALLERAY - PROCESSION,1,inf1946,non-meuble,28.71893854650338,34.485087421259806,20.08664265139938
AUTEUIL NORD,1,inf1946,non-meuble,29.400014253276023,35.30001425327602,20.600014253276026
VAUGIRARD - PARC DES EXPOSITIONS,1,inf1946,non-meuble,28.81788204735414,34.61204241960034,20.176641488984828
BEL - AIR SUD,1,inf1946,non-meuble,25.88243760125109,31.097426256024015,18.156207455398473
LOUVRE - OPERA,1,inf1946,non-meuble,33.66545208275358,40.40122470998438,23.56179331181943
VALLEE DE FECAMP,1,inf1946,non-meuble,27.97811818830692,33.574139677089995,19.585080582936538
SALPETRIERE - AUSTERLITZ,1,inf1946,non-meuble,29.87713529952812,35.821497810085226,20.87735769652625
NATIONALE - DEUX MOULINS,1,inf1946,non-meuble,28.714339383828033,34.481916869593505,20.09385992441423
NATION - ALEXANDRE DUMAS,1,inf1946,non-meuble,30.19980512320526,36.19977161441243,21.099868666012835
BELLEVILLE - SAINT-MAUR,1,inf1946,non-meuble,29.889073348722007,35.8372519159323,20.892715241571295
TEMPLE - ENFANTS ROUGES,1,inf1946,non-meuble,32.899956665927185,39.499947339305216,22.999969707767125
MARAIS - PLACE DES VOSGES,1,inf1946,non-meuble,33.1287925550332,39.77038822960315,23.166396591578096
AMIRAUX - SIMPLON - POISSONNIERS,1,inf1946,non-meuble,28.852666924512288,34.61254197285834,20.1862085106022
PIGALLE - MARTYRS,1,inf1946,non-meuble,31.275353525807237,37.511633666971434,21.920933314060928
CITROEN - BOUCICAUT,1,inf1946,non-meuble,29.4,35.3,20.6
VIOLET - COMMERCE,1,inf1946,non-meuble,29.399798117521108,35.29975927410615,20.599849328861517
PLACE DES FETES,1,inf1946,non-meuble,27.300043915870216,32.800051553412864,19.100030550170587
ODEON,1,inf1946,non-meuble,33.99994968332414,40.799940534837624,23.799963406053923
MASSENA - JEANNE D'ARC,1,inf1946,non-meuble,27.3,32.8,19.1
JARDIN DE REUILLY,1,inf1946,non-meuble,27.135253640661755,32.57802707757303,19.01040025724215
SAINT - VINCENT DE PAUL - LARIBOISIERE,1,inf1946,non-meuble,31.09998024329861,37.29997629200668,21.7999855119296
PLATEAU,1,inf1946,non-meuble,26.01576806994234,31.258921247936854,18.243845864399287
MONTPARNASSE - RASPAIL,1,inf1946,non-meuble,31.09175391623185,37.29175789446361,21.79174698660339
LA FOURCHE - GUY MOQUET,1,inf1946,non-meuble,29.59997742404357,35.499972863227654,20.699984151205868
CHARLES HERMITE - EVANGILE,1,inf1946,non-meuble,27.877372697804756,33.47778534090123,19.501650572385916
JEAN MOULIN - PORTE D'ORLEANS,1,inf1946,non-meuble,30.20011422146725,36.200162361847894,21.100105251114265
INVALIDES,1,inf1946,non-meuble,33.40000717519065,40.10000837105576,23.40000478346043
LOUIS BLANC - AQUEDUC,1,inf1946,non-meuble,30.818252425723458,36.96190425235703,21.593387049903374
NOTRE - DAME DES CHAMPS,1,inf1946,non-meuble,33.56556637328909,40.293155623400686,23.51037326268914
ITALIE - PEUPLIERS - RUNGIS,1,inf1946,non-meuble,30.99981921303613,37.19978484007832,21.699872882041706
TRIANGLE D'OR,1,inf1946,non-meuble,33.99994961572661,40.79994023473593,23.799965754740626
MARTIN LUTHER KING,1,inf1946,non-meuble,30.092104156308046,36.074121515692724,21.028069437538697
BAS - BELLEVILLE,1,inf1946,non-meuble,25.800266814355215,31.000315964368017,18.100182557190408
BLANCHE - TRINITE,1,inf1946,non-meuble,31.191290550242858,37.41017966378671,21.862958103690136
RENNES,1,inf1946,non-meuble,33.504320340502545,40.22170706391963,23.469546893668358
MANIN - JAURES,1,inf1946,non-meuble,27.18299515223213,32.65959418267855,19.021996768154754
MUETTE NORD,1,inf1946,non-meuble,29.50000863541038,35.400010406776616,20.700005978361034
PORTE DES LILAS,1,inf1946,non-meuble,27.3,32.8,19.1
EMERIAU - ZOLA,1,inf1946,non-meuble,29.4,35.3,20.6
PORTE SAINT-DENIS - PARADIS,1,inf1946,non-meuble,31.099936468559356,37.29992400980681,21.79995266767011
GEORGES BRASSENS,1,inf1946,non-meuble,28.300055182220092,34.00006540114974,19.800038831932657
MONTMARTRE,1,inf1946,non-meuble,28.000062244906363,33.600074292307596,19.600044173804516
TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,1,inf1946,non-meuble,27.157042624993842,32.628435288505806,19.00471270720345
SAINT - GERMAIN DES PRES,1,inf1946,non-meuble,33.99989863912654,40.79988174564763,23.79993242608436
BEL - AIR NORD,1,inf1946,non-meuble,25.800076923119388,31.000091426109684,18.10005201677424
AUTEUIL SUD,1,inf1946,non-meuble,29.4,35.3,20.6
PONT DE FLANDRE,1,inf1946,non-meuble,27.3,32.8,19.1
SAINT - PHILIPPE DU ROULE,1,inf1946,non-meuble,33.37477521676137,40.04973026011364,23.369289593768944
TERNES - MAILLOT,1,inf1946,non-meuble,30.199989386309454,36.19998801791873,21.09999423894947
MONTSOURIS - DAREAU,1,inf1946,non-meuble,29.623670215807977,35.527617058513236,20.715782439916307
DUPLEIX - LA MOTTE PICQUET,1,inf1946,non-meuble,29.400022171137287,35.300025956126575,20.600015211045964
LEON BLUM - FOLIE-REGNAULT,1,inf1946,non-meuble,29.643199409504614,35.550398275553164,20.72879857080086
BASSIN DE LA VILLETTE,1,inf1946,non-meuble,27.30000783334497,32.80000919566584,19.10000544928346
COURCELLES - WAGRAM,1,inf1946,non-meuble,30.20005464480431,36.20006680169744,21.10004016828151
ROSA PARKS - MACDONALD,1,inf1946,non-meuble,27.3,32.8,19.1
REUNION - PERE LACHAISE,1,inf1946,non-meuble,26.44593709583405,31.775122686829377,18.530626514129608
FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS,1,inf1946,non-meuble,29.599922118338462,35.4999077717166,20.69994671254737
SAINT BLAISE,1,inf1946,non-meuble,27.299977614125858,32.79997313695103,19.099985076083907
PEREIRE - MALESHERBES,1,inf1946,non-meuble,30.199999999999996,36.2,21.1
REPUBLIQUE - SAINT-AMBROISE,1,inf1946,non-meuble,29.932489549726196,35.88790905213285,20.921662751452317
PERNETY,1,inf1946,non-meuble,30.919563877133108,37.09945458482202,21.639673169444194
EUROPE,1,inf1946,non-meuble,29.500570065946746,35.40068288219196,20.70039158088395
GROS CAILLOU,1,inf1946,non-meuble,33.39990721037348,40.09988842032336,23.399935304237722
GRANDES CARRIERES - CLICHY,1,inf1946,non-meuble,28.000051253090845,33.60006087994511,19.60003546836755
MAIRIE,1,inf1946,non-meuble,29.9969510577759,35.996340788001,21.042343072622668
SEINE,1,inf1946,non-meuble,33.8204508965757,40.58780462691562,23.669419809963085
MONNAIE,1,inf1946,non-meuble,33.99997462850345,40.79997001550407,23.79998154800251
BASTILLE - POPINCOURT,1,inf1946,non-meuble,29.763990598765666,35.69132367236503,20.809328246558344
BELLEVILLE,1,inf1946,non-meuble,29.34334335173364,35.19869979146498,20.521464712950625
AMANDIERS - MENILMONTANT,1,inf1946,non-meuble,25.801049911549466,31.001243122570962,18.10071816679623
BERCY,1,inf1946,non-meuble,25.80025156163228,31.00029810160511,18.10017088567117
