seloger_quartier,code_postal,rooms,epoque,furnished,ref,refmaj,refmin
Saint Thomas d'Aquin,75007,1,inf1946,non-meuble,33.40370564457005,40.104323251998395,23.402470429713365
Seine et Berges,75007,1,inf1946,non-meuble,32.397449907440915,38.888985891122516,22.702330450559494
Elysées-Madeleine,75008,1,inf1946,non-meuble,34.0,40.8,23.8
Europe,75008,1,inf1946,non-meuble,29.539782079719018,35.44714666035872,20.726323876414163
Hoche-Friedland,75008,1,inf1946,non-meuble,33.96980337948953,40.763712299893925,23.779091497356138
Mairie,75008,1,inf1946,non-meuble,30.07536354300691,36.090145134851205,21.095763145181877
Parc Monceau,75008,1,inf1946,non-meuble,29.530575455577786,35.436165669551464,20.719984177495274
Saint Philippe du Roule,75008,1,inf1946,non-meuble,32.925681925555054,39.51081831066606,23.05991421538237
Triangle d'Or,75008,1,inf1946,non-meuble,33.983894551862896,40.78067346223547,23.788905135727774
Clichy-Trinité,75009,1,inf1946,non-meuble,31.081450398467076,37.278059483314784,21.78655661629336
Lafayette-Richer,75009,1,inf1946,non-meuble,31.69660474347364,38.02061946518955,22.21058266089977
Lorette-Martyrs,75009,1,inf1946,non-meuble,31.106018517097063,37.30726372753093,21.80415070144625
Provence Opéra,75009,1,inf1946,non-meuble,33.99967740009609,40.79961065528839,23.799777517307653
Trudaine-Maubeuge,75009,1,inf1946,non-meuble,31.028958037465546,37.21520705233395,21.749579721184162
Chateau d'Eau-Lancry,75010,1,inf1946,non-meuble,29.67656294317114,35.59267363235098,20.75375185668866
Faubourg du Temple-Hôpital Saint Louis,75010,1,inf1946,non-meuble,29.6,35.5,20.7
Grange Aux Belles-Terrage,75010,1,inf1946,non-meuble,29.630665142002243,35.537008421891365,20.72299791172608
Louis Blanc-Aqueduc,75010,1,inf1946,non-meuble,30.868184308220037,37.022057526700884,21.6303432303479
Porte Saint Denis-Paradis,75010,1,inf1946,non-meuble,31.10247823949341,37.30302895938083,21.80165215966227
Saint Vincent de Paul-Lariboisière,75010,1,inf1946,non-meuble,31.084166732637204,37.281000079164635,21.788388937267282
Bastille-Popincourt,75011,1,inf1946,non-meuble,29.764091910297253,35.691482681932634,20.80942938082359
Belleville-Saint Maur,75011,1,inf1946,non-meuble,29.882953706023752,35.82999549498454,20.888518641972663
Léon-Blum Folie-Regnault,75011,1,inf1946,non-meuble,29.646510561451617,35.554251854070124,20.730996573344314
Nation-Alexandre Dumas,75011,1,inf1946,non-meuble,30.17905767124689,36.17538405824782,21.085633508840274
République-Saint Ambroise,75011,1,inf1946,non-meuble,29.958086384418095,35.91908437482091,20.93960220716749
Aligre-Gare de Lyon,75012,1,inf1946,non-meuble,29.643247381599778,35.552376003274524,20.730752312474635
Bel-Air Nord,75012,1,inf1946,non-meuble,25.817453742706803,31.02070185564503,18.11183802480715
Bel-Air Sud,75012,1,inf1946,non-meuble,26.23167382674555,31.510159977062926,18.394323063690152
Bercy,75012,1,inf1946,non-meuble,25.81448507675509,31.017122071711643,18.1098795333341
Bois de Vincennes,75012,1,inf1946,non-meuble,26.992103339109065,32.40884940076526,18.912797731210727
Jardin de Reuilly,75012,1,inf1946,non-meuble,27.16835015602896,32.617150075512214,19.03297499749774
Nation-Picpus,75012,1,inf1946,non-meuble,27.97638865697257,33.57209568551304,19.583901357026754
Seine et Berges,75012,1,inf1946,non-meuble,28.480249997668235,34.18986764548546,19.93573473512133
Vallée de Fécamp,75012,1,inf1946,non-meuble,27.99525731283289,33.59439500607524,19.596766349658793
Bièvres Sud Tolbiac,75013,1,inf1946,non-meuble,30.99711650142959,37.1964986088788,21.697940358163994
Buttes Aux Cailles-Glacière,75013,1,inf1946,non-meuble,30.999296560366307,37.19816225715566,21.700611574963393
Croulebarbe,75013,1,inf1946,non-meuble,31.106196849836465,37.3075739275779,21.804016856603816
Dunois-Bibliothèque-Jeanne-d'Arc,75013,1,inf1946,non-meuble,27.34058491928646,32.84758231916343,19.127989599507906
Nationale-Deux Moulins,75013,1,inf1946,non-meuble,27.3436361650285,32.851168856901374,19.130101074250298
Olympiades-Choisy,75013,1,inf1946,non-meuble,28.83740215912053,34.62826202706225,20.180336652354967
Patay-Masséna,75013,1,inf1946,non-meuble,27.3,32.8,19.1
Salpêtrière-Austerlitz,75013,1,inf1946,non-meuble,30.199262711650036,36.19919460987053,21.09959353457449
Didot-Porte de Vanves,75014,1,inf1946,non-meuble,30.841953685726036,37.01257634555474,21.588704006006807
Jean Moulin-Porte d'Orléans,75014,1,inf1946,non-meuble,30.194418904284817,36.19356839965381,21.096358947511405
Montsouris Dareau,75014,1,inf1946,non-meuble,29.622591637279,35.52724025485908,20.716273945640864
Mouton Duvernet,75014,1,inf1946,non-meuble,30.416817869397992,36.46667865135746,21.267048226662787
Pernety,75014,1,inf1946,non-meuble,30.754576462437964,36.89888551633227,21.51999593955111
Raspail-Montparnasse,75014,1,inf1946,non-meuble,31.07503476454844,37.271811255874795,21.77798526797418
Alleray Procession,75015,1,inf1946,non-meuble,28.675314340791605,34.43457449986396,20.05679402264689
Cambronne-Garibaldi,75015,1,inf1946,non-meuble,30.18786221487965,36.1861950747528,21.09206598552216
Citroën-Boucicaut,75015,1,inf1946,non-meuble,29.4,35.3,20.6
