,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
LA FOURCHE - GUY MOQUET,0.29291794732271376,1.1649376913548104,17.091438995713567,38.004538144051054,1.3214804540110552,60.67398140193788,6.511977169407816,1594.0666601690068,0.150380134172449,16.87694224821914,10.248568842935136,16.97326141436443,2.0376624687871168,2.4426401298763536,1.9703333008450346,2.9406666016900695,2.4326977036326207,1.9703333008450346,6.450635899508505,7.3436976061677255,17601.482741916,624.396537955568
CHARLES HERMITE - EVANGILE,0.5921241164949174,0.46212563459121525,12.904593078847855,37.95299320578303,30.582826727271122,31.464180066945843,4.289253097408692,1737.5629087673215,0.1953247702846631,15.411737195465784,9.892715158818998,9.761136915171356,2.0194981962954426,1.5900341490859575,1.3027929376110388,1.8611533859748244,1.5900341490859575,1.5987080701769996,4.912325282992438,5.049895605237781,30082.34607148478,1131.803966862951
JEAN MOULIN - PORTE D'ORLEANS,0.47475838724337943,0.613787279981321,15.035495081185413,43.68918023775918,11.077589315768078,45.23323044647274,5.428248846072411,1641.6516778489458,0.17337998703987983,15.94491137165316,9.367862200677283,12.581854945970713,1.8227425876380936,2.4629622262585036,1.2446182668271706,2.308529899947958,2.479654361128639,1.4417150833324257,5.530323080723767,6.229899344409023,23563.26189327587,640.6832578331365
INVALIDES,0.5217411602322388,0.6668133022738285,13.378727986079873,59.73260289248742,1.9785506844811496,38.288846423031416,5.853878149764429,1534.1286893534752,0.17795173615501456,17.25207036672667,7.165872547342919,10.66993755462818,1.4647781284108896,2.0434291539964913,1.572811220751496,2.088721925741021,1.78015659051048,1.572811220751496,5.081018503158877,5.441689737002997,24898.761212854275,925.0670803610064
LOUIS BLANC - AQUEDUC,0.361939642055317,0.836864237836098,17.606994741114956,38.5677250445021,4.3793786958193275,57.05289625967858,6.115607396035045,1610.9412634139644,0.15397827605907435,31.642846766473642,10.313636048531063,15.220698673627178,1.993888259946217,1.9687400049591863,1.7048070372699102,2.837120055133061,1.9687400049591863,1.863358720023699,5.667435302175314,6.669218780115946,18696.262945072373,610.3367039572054
NOTRE - DAME DES CHAMPS,0.32218133096013163,0.9411771730067893,17.917435801045123,43.79642402081015,0.4275091404708845,55.77606683871897,6.356093793228427,1570.183437364959,0.1582010423284583,12.498197686005929,8.447568301258539,15.302140230716065,1.7938625871189735,2.2476969626481784,1.7953488363221624,2.7023181062295176,2.2323991388683178,1.7953488363221624,5.8369083860893145,6.730066081419998,23672.000978879107,884.4581415383658
ITALIE - PEUPLIERS - RUNGIS,0.5472194449378414,0.5747431865528302,14.632543953409026,54.35247406157594,9.189301024129364,36.4582249142947,5.367836117142711,1578.4006558995277,0.18212390564342903,14.070329389461637,7.235870397897551,10.13653898096622,1.4454537981660625,2.045941301491773,1.3546437318349134,2.0598273362957835,2.045129540558861,1.592108166020981,4.846038831492749,5.697065042875625,29284.10409073068,796.5237297301026
TRIANGLE D'OR,0.27343993616462026,1.039748496668433,20.901618532151996,39.30913165093294,4.980231498684626,55.71063685038243,6.576807871383328,1556.720932880314,0.1563711324291902,30.87448575718538,9.302575086619413,15.12006822492,1.7459554239279025,2.117829799800345,1.6454894346307967,2.5810397621703998,1.6621289727038033,1.6454894346307967,5.509274658359044,5.888658169504999,19996.17468888011,651.5696200000436
MARTIN LUTHER KING,0.5799814068465646,0.3457979425243583,11.453569519577641,56.23168938402705,5.517021717407004,38.251288898565946,5.481853403706304,1528.4957511527841,0.1854122749689766,13.341314281005879,7.911396733510514,9.516475158337698,1.7455689470230564,1.5044708324494693,1.3151600462009172,1.7928509642502248,1.4234064747888495,1.3151600462009172,4.565199825673443,4.5314174852399915,31352.597211618133,985.5661784902982
BAS - BELLEVILLE,0.3795682318017154,0.8932675763750921,18.15884836102674,43.83345089513425,2.9572270295657246,53.20932207530002,6.136303688363867,1597.2088071621902,0.163088562655216,16.659294779371166,9.541637615976711,15.099235557289342,2.0105764043638006,2.2103002810355576,1.2959404559734267,2.814070553870852,2.2103002810355576,1.9757176099388296,5.516817141372783,7.000088444845239,24430.42671399798,681.8983060628304
BLANCHE - TRINITE,0.2409977555329697,1.4978352021217867,18.973124367428504,29.552333093826398,0.8505808449824417,69.59708606119116,6.508921370493502,1596.3295577909214,0.15069223145237198,22.449750719121454,10.369068267761474,19.016700131004367,2.0966968681383262,2.436489878826495,1.6222485810868388,2.9666649729711105,2.3608052559852495,1.8122409829967008,6.155435328051659,7.1397112119530615,17268.265395928625,548.4599380776044
RENNES,0.2676742391634287,1.301701808562663,20.40479130436058,34.53591153771602,1.6239450743533866e-06,65.46408683833889,6.5,1600.0,0.15,19.37891254863305,10.246122254548208,17.799174701559167,2.0317043272992006,2.924632876572279,1.889420867972821,3.0,2.771589783836583,1.889420867972821,6.845758071844301,7.661010651809403,16306.401583927516,500.5419168426511
MANIN - JAURES,0.507342979782763,0.47977126567073236,12.467671015561892,52.557366695192314,6.69981621322623,40.74281709158145,5.789147100677753,1548.5092799211843,0.17729969469290136,13.912494139806897,7.350784370169032,10.7895412893206,1.588753119450415,1.834775209142995,1.3655204607599059,2.2409814242377273,1.8083074432189798,1.648419224456393,4.789048789353316,5.697708091913102,27076.049560522857,867.1787136996845
MUETTE NORD,0.4041186941752683,0.8637328909262094,17.354014020065893,50.696170004903315,3.397563131945576,45.90626686315111,6.273988289023274,1577.1378686583737,0.1596709797290532,9.328055851139084,7.852321878629933,12.959018308760548,1.4732958220569357,2.3422290750343056,1.7258686440857915,2.425893565935134,2.2697420517778153,1.8382028316879888,5.541393541177031,6.533838449400937,21210.25911825034,755.4273078240055
PORTE DES LILAS,0.4969682099922433,0.5698264957377118,13.413610094061516,49.07720053520094,6.880183570913557,44.04261589388551,5.977209032705179,1552.6549700191401,0.17017745967688186,29.78013625924939,7.4038636492134025,10.7926492595363,1.4356403808238332,2.036733525516296,1.4615882836008196,1.976150462297989,2.036733525516296,1.7128782943050118,4.933962189940949,5.725762282119296,25809.171053038575,865.4748393666525
EMERIAU - ZOLA,0.35168282120361205,1.1131504549219167,18.92147444506943,38.60442372977262,5.039052375423276,56.3565238948041,5.8635448547343465,1596.8879265926548,0.16961697873933565,15.722371304461767,9.887885784920282,15.444778481140755,1.9617906122389546,2.1826011149877877,1.5260545498515703,2.6933373335776993,2.1491609905166342,1.6241441006692048,5.670446277078313,6.466642424763538,19576.435733864273,669.6072406920101
PORTE SAINT-DENIS - PARADIS,0.22606896455759448,1.108817730083112,16.847543813835998,24.893385886649,1.8630909022557778,73.24352321109522,6.485891573559552,1597.1783147119104,0.15070542132202236,28.17677204209806,11.743575855291555,18.49688125955219,2.2699644180462553,2.0726537745413203,1.9748105761257069,2.966894689559812,1.9844737436548483,1.9824209459049635,6.317428768713283,6.933789379119624,23747.07289856972,695.9426403234897
GEORGES BRASSENS,0.530010159418332,0.6566111966289327,15.073683931510706,57.75178133545681,5.7469375644627645,36.501281100080455,5.796474038016041,1559.2307017982366,0.1760780228892023,11.992556879948001,6.9287042981215885,10.32259754379167,1.4403928352152298,2.141474920530251,1.3101712492571385,2.062844687141675,2.2000025210649525,1.6490343370021456,4.892039005002619,5.911881545208773,25079.533031704897,840.6256068164346
MONTMARTRE,0.35175152641254614,0.9898567366337285,16.462223047808592,39.407506341331604,4.925728990246792,55.666764668421614,6.239052923041837,1588.851088262782,0.15785082678506604,10.892735562653662,9.24931165148142,15.460141723794944,1.8432488385196149,2.3027978334429475,1.5484794003986986,2.7036752546912597,2.1808941566842366,1.814274208026148,5.694526072361262,6.698843619401645,17824.668550464357,652.3594142837246
TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,0.44766066372210833,0.7581297223752956,16.37294008799936,50.35725011737948,6.387356996720216,43.2553928859003,5.688397363342262,1605.4938228972896,0.1748253640028668,18.58521046504023,8.73796908229458,12.780284200971256,1.8893343457523053,2.3692633762553585,1.4562148165791484,2.5652351569388427,2.440279463101721,1.7568081272054776,5.714812538586812,6.762322747246042,34255.196343467,919.081579182629
SAINT - GERMAIN DES PRES,0.22590258043589795,1.060967902985066,19.808011294177675,27.653413297662485,0.8366799976583258,71.50990670467918,6.549449226760089,1597.5275386619955,0.1517307229366031,24.46928349628636,10.86951509994746,18.629026755229937,2.1866820209276057,2.887438218424891,1.999907470945799,2.9999999999999996,2.447184070036239,1.999907470945799,7.074027710298295,7.447091540982036,19309.375288677587,542.3157921140286
BEL - AIR NORD,0.44504065200678283,0.5402615755885353,17.55287083564303,49.58567434159184,4.145065877624793,46.26925978078335,5.953020219473935,1597.3861144132939,0.16880329051422174,19.236381460160825,8.783857512395125,12.445654135647109,1.8138682214934028,2.6026861788881352,1.303719631311357,2.4675279973172937,2.6564427791680623,1.4022274096995693,5.720274031692894,6.526198186184925,22268.1723231579,700.4745582319385
AUTEUIL SUD,0.4470353512108952,0.7599751942099067,17.68299781705877,48.71791317472164,9.435488865056161,41.846597960222205,5.689771633059175,1613.1907831227172,0.16938379930717368,15.452095203751387,8.161366280577756,12.853325443347009,1.670632860196065,2.165445008648859,1.5908496865780775,2.4460618763834203,2.100972048955442,1.7263078083586114,5.426927555423002,6.273341733697474,22807.970061362248,755.8235232470535
PONT DE FLANDRE,0.5416211332808425,0.5750496960748482,14.451727585376418,56.566589063774984,4.91380404632615,38.51960688989886,5.491222232249408,1561.827669045566,0.17673683372846438,10.958434786789175,7.3624407753566885,11.21088239585277,1.6939236596244953,1.9138662607792551,1.3375924561381143,2.2318797590935535,1.9051067544111238,1.4907192432803473,4.945382376541865,5.627705756785024,39780.89167630876,1135.3603299196573
SAINT - PHILIPPE DU ROULE,0.20533864909192825,1.2316840993508964,19.994519049723422,25.084024885273326,2.187568472143174,72.72840664258348,6.560240500371982,1595.1551348433413,0.15273158315995966,39.83063794782634,11.164494253294162,18.47492380861133,2.302255529786728,2.4333230978232083,1.9926686394477615,2.985337278895523,2.0398134195104327,1.9926686394477615,6.728247267057697,7.017819337853718,19219.05441359528,611.2017183355052
