,mean,median,mode,std,mean_delta,median_delta,mode_delta,0.0_delta,0.1_delta,0.25_delta,0.5_delta,0.75_delta,0.9_delta,1.0_delta
FAUBOURG MONTMARTRE,4.3540734112816795,5.0,5.0,1.4865446178292783,-0.6459265887183204,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
CLIGNANCOURT - JULES JOFFRIN,4.155547883104568,5.0,5.0,1.6198625208786441,-0.8444521168954322,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
GOUTTE D'OR - CHATEAU ROUGE,3.8746847421501664,5.0,5.0,1.807969872327802,-1.1253152578498344,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
LEGENDRE - LEVIS,4.214552418909053,5.0,5.0,1.640748197469382,-0.7854475810909485,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
CHAMPERRET - BERTHIER,2.418138351908906,1.0,1.0,1.8622015329900652,1.4181383519089057,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,4.0,4.0
HOCHE - FRIEDLAND,4.060439887533415,5.0,5.0,1.708653141834523,-0.9395601124665851,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
DAUPHINE,3.325759624154446,5.0,5.0,2.061539754743835,-1.6742403758455537,0.0,0.0,-5.0,-5.0,-4.0,0.0,0.0,0.0,0.0
SECRETAN,3.599568361281985,5.0,5.0,1.66939433856401,-1.4004316387180151,0.0,0.0,-5.0,-4.0,-2.0,0.0,0.0,0.0,0.0
JARDIN DES PLANTES,2.657652045706793,3.0,5.0,2.184496260253267,-2.3423479542932073,-2.0,0.0,-5.0,-5.0,-4.0,-2.0,0.0,0.0,0.0
LA FOURCHE - GUY MOQUET,4.215218278724812,5.0,5.0,1.6258676413925812,-0.7847817212751874,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
CHARLES HERMITE - EVANGILE,1.5934772908479908,1.0,1.0,1.238243000569583,0.593477290847991,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,4.0
JEAN MOULIN - PORTE D'ORLEANS,2.8676764715125818,3.0,5.0,1.9676907157465795,-2.1323235284874182,-2.0,0.0,-5.0,-4.0,-4.0,-2.0,0.0,0.0,0.0
INVALIDES,2.033711515181843,1.0,1.0,2.0722769562996186,1.033711515181843,0.0,0.0,-1.0,-1.0,-1.0,0.0,4.0,4.0,4.0
LOUIS BLANC - AQUEDUC,3.102166241023593,5.0,5.0,2.0579568066540075,-1.8978337589764078,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
NOTRE - DAME DES CHAMPS,3.4366144298681975,5.0,5.0,2.0560780386251185,-1.5633855701318025,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
ITALIE - PEUPLIERS - RUNGIS,2.2981063201895395,1.0,1.0,1.6971325924009009,1.2981063201895389,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,4.0,4.0
JARDIN DE REUILLY,2.9228698163865667,3.0,5.0,1.8850685152443374,-2.0771301836134333,-2.0,0.0,-5.0,-4.0,-4.0,-2.0,0.0,0.0,0.0
SAINT - VINCENT DE PAUL - LARIBOISIERE,3.065474596587527,5.0,5.0,2.0312365256495704,-1.934525403412473,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
PLATEAU,2.252295304798949,1.0,0.0,2.296835764750565,2.252295304798949,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0
MONTPARNASSE - RASPAIL,2.6479616280889693,3.0,5.0,2.0918098777660905,-2.352038371911031,-2.0,0.0,-5.0,-5.0,-4.0,-2.0,0.0,0.0,0.0
MUETTE SUD,3.279447878274113,5.0,5.0,2.0559081174874803,-1.7205521217258872,0.0,0.0,-5.0,-5.0,-4.0,0.0,0.0,0.0,0.0
PASTEUR - MONTPARNASSE,3.774672001870393,5.0,5.0,1.8227985619709832,-1.2253279981296064,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
GRANGE AUX BELLES - TERRAGE,3.080675525229805,3.0,5.0,2.0205592802781394,-1.9193244747701952,-2.0,0.0,-5.0,-5.0,-4.0,-2.0,0.0,0.0,0.0
BIBLIOTHEQUE - SEINE,2.4684519970065337,1.0,1.0,1.9186823119586465,1.468451997006534,0.0,0.0,-1.0,-1.0,0.0,0.0,4.0,4.0,4.0
SENTIER - ARTS ET METIERS,3.7844001355506913,5.0,5.0,1.8717669514120265,-1.2155998644493078,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
CHATEAU D'EAU - LANCRY,4.165391487415067,5.0,5.0,1.6452473958765088,-0.8346085125849332,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
SALPETRIERE - AUSTERLITZ,2.289344824325563,1.0,1.0,1.8157591555991606,1.2893448243255636,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,4.0,4.0
NATIONALE - DEUX MOULINS,2.8501082953598393,3.0,5.0,1.8339163094620703,-2.1498917046401598,-2.0,0.0,-5.0,-4.0,-4.0,-2.0,0.0,0.0,0.0
NATION - ALEXANDRE DUMAS,4.236947024193936,5.0,5.0,1.5734031458980804,-0.7630529758060629,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
BELLEVILLE - SAINT-MAUR,4.2029735783482645,5.0,5.0,1.6127683147776108,-0.7970264216517366,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
TEMPLE - ENFANTS ROUGES,4.004843603671258,5.0,5.0,1.7893952876028163,-0.9951563963287426,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
MARAIS - PLACE DES VOSGES,4.086148587105612,5.0,5.0,1.7073416121690181,-0.9138514128943873,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
MONTSOURIS - DAREAU,2.2309393180378994,3.0,3.0,1.7513382844203382,-0.7690606819621005,0.0,0.0,-3.0,-3.0,-2.0,0.0,0.0,2.0,2.0
DUPLEIX - LA MOTTE PICQUET,3.2701784921444617,5.0,5.0,1.9700181993693027,-1.7298215078555388,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
LEON BLUM - FOLIE-REGNAULT,3.8725614241799637,5.0,5.0,1.7731873889125405,-1.1274385758200354,0.0,0.0,-5.0,-4.0,-2.0,0.0,0.0,0.0,0.0
BASSIN DE LA VILLETTE,3.030510696113108,3.0,5.0,2.1067523575596376,-1.9694893038868928,-2.0,0.0,-5.0,-5.0,-4.0,-2.0,0.0,0.0,0.0
COURCELLES - WAGRAM,4.247107732120812,5.0,5.0,1.5858023836160806,-0.752892267879188,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
VIOLET - COMMERCE,3.9658802564074778,5.0,5.0,1.618901604713674,-1.0341197435925222,0.0,0.0,-5.0,-4.0,-2.0,0.0,0.0,0.0,0.0
PLACE DES FETES,3.469773609781648,3.0,5.0,1.6313300383484655,-1.5302263902183522,-2.0,0.0,-5.0,-4.0,-2.0,-2.0,0.0,0.0,0.0
ODEON,1.8856258714942247,1.0,0.0,2.164883909483829,1.8856258714942247,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0
MASSENA - JEANNE D'ARC,3.1142217272315205,3.0,5.0,1.729195294353513,-1.8857782727684802,-2.0,0.0,-5.0,-4.0,-4.0,-2.0,0.0,0.0,0.0
