conseil_de_quartier,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
ITALIE - PEUPLIERS - RUNGIS,12.698078102258965,355.5382944383018,26.837110376541542,43.43311082583036,0.761975032129091,0.04931782449769619,28.9177698662591,72.01208213522868,0.3209117660834174,0.06507947606508048,8.747300399746525,27.03472312438734,42.838901239805885,20.993083993911775
MUETTE SUD,15.094487319292954,424.8483987394925,35.30508461141662,34.046966332798,0.4824955047199961,9.468102178541276,20.696759450375755,76.03689193258869,0.36459815277504926,0.0,13.460553618779116,10.303334890189321,20.76299495999734,55.10851837825918
PASTEUR - MONTPARNASSE,17.208900328097755,456.514219006177,40.631251536867325,44.111530922969536,0.440345691742822,0.03907504431847567,14.777458119757183,82.32331116584376,0.0,0.42821366506180375,2.993007162192832,7.119653555684717,23.225060806391305,66.23406481066934
GRANGE AUX BELLES - TERRAGE,13.810511643062881,369.966557731459,39.239292169247385,33.443877004898006,0.4394905963578868,4.1052359764773945,22.771780209700164,82.97211336191259,0.0,0.0,12.65516390880584,16.882213833549514,23.723050066472815,46.73957219117181
BIBLIOTHEQUE - SEINE,15.34162237946369,1633.5719015876095,27.575706951054936,46.82640825054703,0.5166605771886373,8.408425923090723,16.672292554106534,60.88802033793076,0.0,0.0,10.80828545351282,15.333564927713795,42.11156079408873,31.746588824684657
SENTIER - ARTS ET METIERS,15.733214029903987,316.1555830801947,58.184331454476435,32.64537606145224,0.5198812922415302,0.04613281091563067,8.604286457663054,60.870238241438884,0.0,0.0,1.4027042164492658,0.0,28.63661634067111,69.96067944287961
CHATEAU D'EAU - LANCRY,15.661947146878521,460.50731028724755,56.59052328801802,35.26538380724232,0.4751789902198918,0.04216604983262221,7.627839228408801,72.45181898937248,0.0,0.0,0.7524563785229276,0.5693288594637995,19.63997791173777,79.0382368502755
VIOLET - COMMERCE,14.819409006915789,221.1652068333945,44.55218630285974,37.80746203475201,0.38375548574364354,0.03405338781342912,17.22128835831502,80.68964229532062,0.0,0.0,2.939465773900803,16.81564200183749,13.770840371518307,66.4740518527434
PLACE DES FETES,15.62976972130224,378.2152129544555,42.26075119293822,35.098368994766936,0.38839615276739287,0.034465187617584346,22.21882452125296,80.89912802008052,2.4261763944780323,4.446184114358096,2.8535473961079854,27.91177161932808,17.801661376211733,44.56065909951608
ODEON,10.828835138926058,504.3502452579099,30.67277364252479,29.82627608867971,0.36308536043746026,0.02650409201402688,39.112580026579266,71.5914924508651,0.0,0.0,36.48805308914787,0.0,32.24928685120953,31.26266005964258
MASSENA - JEANNE D'ARC,13.65273274355982,324.24458142592124,35.06524057475887,36.557823682617936,0.5464538360118437,0.04582122675452987,27.78520977923438,79.98162334623494,2.2859203470703786,0.9902104741629941,4.7755694588024475,29.471524332236463,24.477239950747176,37.99953543698055
BATIGNOLLES,14.59045168702783,196.47938179408462,48.219247146668444,38.58600948669608,0.4164103429373128,0.14403682533493942,12.63446393132347,81.81201465930233,0.0,0.0,3.8244906029701506,0.3973823758482604,22.15269445262394,73.62543256855764
MONCEAU,17.38006020555424,332.3838338829379,39.31490394732462,32.129744094347274,0.4063318720972503,0.3562488210211381,27.795348228909923,68.0055720570314,0.0,0.0,22.26564041406549,0.28357807216233294,11.872410879484942,65.57837063428721
ANVERS - MONTHOLON,17.70865180133067,301.74092152271606,54.60468298196565,35.652523256726646,0.5516810447674914,0.04895463195889002,9.141491638590896,75.7055621497952,0.0,0.0,1.4764365528172334,0.0,25.806897604634866,72.7166658425479
MOUTON - DUVERNET,13.530364395334166,162.80331156471186,44.79661179026579,37.69459546760345,0.4871226201593665,0.04322589803461955,16.977118074607525,80.21708140261079,1.7180862635595564,0.0,2.471442293656433,5.463188627547911,18.672584687658155,71.67469812757794
