code_postal,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
77166,3.7708099912134796,63.419678439385265,0.999390113332155,3.954610202719892,10.058343434809881,0.5962036756823581,84.39166736205738,34.38517209240135,4.491433222209528,0.0,92.2018775581133,0.04290288454770447,3.2637863351294683,0.0
77167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77169,3.4704866030077866,53.71631794980135,1.0698581776214313,3.402431594484297,6.061200635231259,0.5144422903196685,88.95168470321585,39.61414255188332,2.791705115839066,0.0,94.71097556546393,0.0,2.4973193186970293,0.0
77170,4.6281829079267345,318.65814888146053,4.348925542256065,10.582142933562533,7.135995777417383,0.460903784653684,77.47230365578346,35.82036115728977,11.076907412017192,0.1026619180666983,76.68543937508832,0.22615458420637352,11.89243325760368,0.016403453017740453
77171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77173,4.288793016253113,68.79306465513203,1.432145655816822,4.1532207509585,10.197524983118916,0.4686527683284387,83.74891198252882,48.34653260926652,5.232504207316398,0.0,91.03222483979066,0.10087592134847653,3.6343950315444675,0.0
77174,3.9074441944623244,72.5494027755766,0.6911908528642241,3.163079674563403,7.673992401222199,0.7884957715325203,87.68223429912555,74.90068202612254,2.4676269359134255,0.019441588808872378,95.75106303463673,0.038558147583860586,1.7233102930571333,0.0
77176,5.015244495959541,431.3648375478837,6.750276247959804,14.073613082393088,4.323488325952077,2.2959154596560882,72.55549576023704,61.57888105181052,21.625131222139,0.05234520747602882,62.942405453058775,0.9248439159584149,14.440882632117452,0.014391569250334494
77177,4.159580625999453,64.10282589418703,2.5393221158141848,8.517074627205046,5.167137585471259,0.7852569832880102,82.99731462917224,86.70101794042749,10.519140431699816,0.0,83.60676582628517,1.4196739731643264,4.4544197688507055,0.0
77178,3.6254420070405065,78.3565144404829,1.7294912082071345,4.687326420058297,20.767668806309942,0.5096400468942165,72.30448297232775,23.3859777669992,10.46632850281163,0.0,86.21035111630275,0.12685302518607153,3.1964673556995815,0.0
