seloger_quartier,code_postal,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
Nation-Alexandre Dumas,75011,0.3304251021783252,0.8211791569061387,17.66326480892375,38.2004178846941,2.962526652461176,58.83705546284474,6.221605477216576,1595.2560289659345,0.15962996009524913,25.258966556287987,10.193714858008676,15.674209391436303,2.024762747830782,2.7554986091090314,1.8661455666902511,2.8973934845379548,2.7592266794634277,1.8661455666902511,6.646406923630064,7.522765730691633,29652.631441176673,838.3987644087802
République-Saint Ambroise,75011,0.2607815480571735,0.9264003253767692,16.6616270838417,31.43888521462052,3.200234117330121,65.36088066804935,6.471558245394656,1584.1849371954245,0.15429046639350863,29.241295710365165,10.929328240816279,16.83305299367856,2.090078358683841,2.378594409191197,1.7793622426597548,2.822526730063498,2.367524328037865,1.7793622426597548,6.248035010534792,6.969413300761117,23286.24324606353,679.3236450129046
Aligre-Gare de Lyon,75012,0.3036276083908219,0.7516155886675409,19.077676008251142,32.53861748642085,6.9677946315083155,60.49358788207084,6.302479708669891,1602.14891013045,0.1597496644281303,24.505091208465956,10.731380084433894,16.438083932760712,2.157878943047811,2.4648440459504037,1.46853328688811,2.850746409177206,2.4023698055707956,1.7549405650674095,6.091256275886325,7.00805677981541,20158.934983533905,644.1161584896872
Bel-Air Nord,75012,0.45208495586806013,0.5237521737411033,17.274179566160573,50.012196223143896,4.416540554536968,45.571263222319125,5.953159594574183,1595.4599005983168,0.16892384167870364,19.33143233463149,8.688276194805105,12.268248288449339,1.7898729581902557,2.575175825210791,1.3052599619461691,2.4394998655809466,2.630122469792105,1.4026634313533755,5.670308745347216,6.4722857667264275,22254.264974805985,702.1538617118616
Bel-Air Sud,75012,0.5225828769320606,0.5423394530904041,14.68156414719339,53.06507438976209,6.5276342153221005,40.407291394915816,5.884217991383528,1572.5016834904818,0.1726691085338225,16.18684848022814,7.592738345423489,10.761375007815442,1.6594398465823108,2.2841465203484566,1.0739554732520247,2.300259841672406,2.2830565884510534,1.2640558663718098,5.017541840182791,5.847372296495268,21172.871870124887,763.9522785473033
Bercy,75012,0.49798137984338287,0.7172943723316269,13.78380247719072,52.435411488670574,7.129361130136737,40.435227381192696,5.589881987340387,1550.6537832071494,0.18743074605777557,15.00000354195815,6.769879165409099,11.031080768137983,1.266031135190206,1.4770826272694175,1.2041843252363837,2.1210209102359934,1.4299501991975976,1.3387497416018799,3.9472980876960073,4.889720851035471,35237.36103374933,915.0052524564682
Bois de Vincennes,75012,0.5171066362840495,1.1613493180703218,15.096879361143102,93.21617013110719,3.4144585201323756,3.3693713487604207,6.456298215974928,1423.236548253476,0.17087893647673627,2.6415342683548912,0.15593209639189082,4.018344911964037,-0.3787937266285459,1.119634588209481,1.0056853254273657,0.7706734344444893,1.094912933712988,1.0055022526321893,1.7465261870083006,2.8710886207896666,101990.13218534182,1815.3072314426609
Jardin de Reuilly,75012,0.4401224810335118,0.6630648436935009,16.154557517886325,44.232027418794324,7.708187947777216,48.059784633428464,5.8593511287576305,1615.4222938721655,0.17197169061339435,13.822079774193227,9.447591707202367,13.093650055576624,1.9973445104180256,2.1998275094078577,1.2818972123342582,2.4534718528520885,2.2233634981359303,1.4242037872260407,5.479069232160143,6.101039138214059,19828.29109920008,794.2569107066346
Nation-Picpus,75012,0.4332729846288679,0.5244936577502333,14.605192836081144,49.88592316281752,1.3594611854255518,48.75461565175691,6.036073585194771,1582.5938698515604,0.16704204252020496,18.22816524135688,8.831354530841658,12.668725185319248,1.8499675887476041,2.6499270047207615,1.0757217867692792,2.4721739511179512,2.6499270047207615,1.1570071616658313,5.575616380237645,6.279108117504544,57679.98803950902,1408.417379906342
Seine et Berges,75012,0.8184852541356982,0.2585633845341966,5.829043513375812,33.91852415923685,55.098603793839395,10.982872046923768,3.288469906794833,1827.5770859312843,0.21256720070536694,13.312526695426005,7.945789111267154,6.948121373665758,1.6053700096033645,1.0125468025730184,1.0059545279880626,1.5644178874124133,1.009249353320573,1.009249353320573,3.6238713401644453,3.582916594053559,9421.779948280931,968.5016581244779
