seloger_quartier,code_postal,rooms,epoque,furnished,housingType,ref,refmaj,refmin
Epinettes-Bessières,75017,2,inf1946,non-meuble,maison,25.408420854653922,30.510295721547234,17.805596968820286
La Fourche-Guy Môquet,75017,2,inf1946,non-meuble,maison,25.394048456409067,30.492559559814296,17.79553331021568
Legendre-Lévis,75017,2,inf1946,non-meuble,maison,26.890945824421948,32.30910934253672,18.81363643032575
Pereire-Malesherbes,75017,2,inf1946,non-meuble,maison,27.17474570327487,32.649694843929844,19.01232199229241
Ternes-Maillot,75017,2,inf1946,non-meuble,maison,27.3114293411709,32.813133650943975,19.107995493118352
Amiraux-Simplon-Poissonniers,75018,2,inf1946,non-meuble,maison,25.128090303336823,30.160168674825098,17.59612352315669
Charles-Hermite-Evangile,75018,2,inf1946,non-meuble,maison,23.38412191505389,28.08089388159583,16.388832924068883
Clignancourt-Jules Joffrin,75018,2,inf1946,non-meuble,maison,24.6,29.5,17.2
Goutte d'Or-Château Rouge,75018,2,inf1946,non-meuble,maison,25.096852225106076,30.120597656610272,17.572358593966165
Grandes Carrières-Clichy,75018,2,inf1946,non-meuble,maison,24.600043149451956,29.500053936814943,17.200032362088965
La Chapelle-Marx Dormoy,75018,2,inf1946,non-meuble,maison,23.808992551371485,28.590519612108523,16.686249544370497
Montmartre,75018,2,inf1946,non-meuble,maison,24.610040080539783,29.511952476833073,17.207171486099842
Moskowa-Porte Montmartre-Porte de Clignancourt,75018,2,inf1946,non-meuble,maison,24.599849530024915,29.499870973742574,17.199959333443772
Bas Belleville,75019,2,inf1946,non-meuble,maison,23.872569210286937,28.686175937215737,16.749891332072266
Bassin de la Villette,75019,2,inf1946,non-meuble,maison,23.40116849889127,28.10140198268576,16.400817913226593
Buttes Chaumont,75019,2,inf1946,non-meuble,maison,23.715965950845245,28.494444869630232,16.63646189420761
Danube-Porte des Lilas,75019,2,inf1946,non-meuble,maison,23.359558698162466,28.051723017814616,16.371943668733387
Flandre-Aubervilliers,75019,2,inf1946,non-meuble,maison,23.425662022036533,28.130327971670923,16.417885672963422
Manin-Jaurès,75019,2,inf1946,non-meuble,maison,23.478438398343314,28.198047997929145,16.458828798757487
Place des Fêtes,75019,2,inf1946,non-meuble,maison,23.4187882242309,28.122545869077083,16.41315175696163
Pont de Flandre,75019,2,inf1946,non-meuble,maison,23.38464206965764,28.081675436730027,16.389354401901205
Secrétan,75019,2,inf1946,non-meuble,maison,23.712767904375394,28.48952057541363,16.633136623225926
Amandiers,75020,2,inf1946,non-meuble,maison,23.839591356549118,28.647454271254105,16.726955336416303
Belleville,75020,2,inf1946,non-meuble,maison,25.3964292567368,30.49575976072055,17.797545102999194
Gambetta,75020,2,inf1946,non-meuble,maison,23.53361329708139,28.266975960883922,16.500169312343225
Plaine,75020,2,inf1946,non-meuble,maison,23.418171298655434,28.12208991072091,16.412754576353837
Père Lachaise-Réunion,75020,2,inf1946,non-meuble,maison,23.66443047258935,28.42902820795853,16.596741836228944
Saint Blaise,75020,2,inf1946,non-meuble,maison,23.42998116951467,28.13762673618558,16.422636151428247
Télégraphe-Pelleport Saint Fargeau,75020,2,inf1946,non-meuble,maison,23.93489123056013,28.744562052708485,16.777116437428415
Bourse du Travail,93000,2,inf1946,non-meuble,maison,19.9,23.9,13.9
Edouard Vaillant,93000,2,inf1946,non-meuble,maison,19.898546290383155,23.898063685350042,13.89946655553411
Les Vignes,93000,2,inf1946,non-meuble,maison,19.89940351685091,23.8993326064409,13.899823346384796
Prefecture,93000,2,inf1946,non-meuble,maison,19.900592225563102,23.900705030432263,13.900423018259358
Bas Montreuil-Bobillot,93100,2,inf1946,non-meuble,maison,19.56450308305106,23.486004110734747,13.743002055367374
Bas Montreuil-Etienne Marcel-Chanzy,93100,2,inf1946,non-meuble,maison,19.798915011975712,23.79855334930095,13.899276674650475
Bas Montreuil-République,93100,2,inf1946,non-meuble,maison,19.51898400794405,23.422954012712093,13.713127604872025
Bel Air-Grands Pêchers-Renan,93100,2,inf1946,non-meuble,maison,19.79796524435097,23.797286992467956,13.898643496233978
Branly-Boissière,93100,2,inf1946,non-meuble,maison,19.797859784422418,23.797142584193384,13.898573569118593
Centre Ville-Jean Moulin-Beaumont,93100,2,inf1946,non-meuble,maison,19.616096673099097,23.554795564132128,13.777397782066064
La Noue-Clos Français,93100,2,inf1946,non-meuble,maison,19.769501807806563,23.762165795808553,13.878960358854425
Ramenas-Léo Lagrange,93100,2,inf1946,non-meuble,maison,19.795242988512822,23.793535182700612,13.896640532908753
Ruffins-Théophile Sueur-Montreau-Le Morillon,93100,2,inf1946,non-meuble,maison,19.79243998059475,23.78991997412633,13.894959987063164
Signac-Murs à Pêches,93100,2,inf1946,non-meuble,maison,19.557768189077272,23.477040132220193,13.738508156022222
Solidarité Carnot,93100,2,inf1946,non-meuble,maison,19.5,23.4,13.7
Anatole France,93120,2,inf1946,non-meuble,maison,19.38252613237279,23.299031358847348,13.560519163740045
Balzac-Moulin Neuf,93120,2,inf1946,non-meuble,maison,19.3,23.2,13.5
Braque,93120,2,inf1946,non-meuble,maison,19.56571171664698,23.515011496494036,13.687170131909783
Centre Ville-Convention,93120,2,inf1946,non-meuble,maison,19.3,23.2,13.5
Centre Ville-Mairie,93120,2,inf1946,non-meuble,maison,19.3,23.2,13.5
La Gare,93120,2,inf1946,non-meuble,maison,19.335662618030845,23.24279514163701,13.526152586555952
La Tour,93120,2,inf1946,non-meuble,maison,19.31098126365272,23.213014830995817,13.507727555903767
Parc Départemental,93120,2,inf1946,non-meuble,maison,19.27657051912914,23.171456786740183,13.483970391147615
Quatre Routes,93120,2,inf1946,non-meuble,maison,19.307148086587784,23.20840184663718,13.505015040197604
Rateau,93120,2,inf1946,non-meuble,maison,19.3,23.2,13.5
Verlaine-Paul Verlaine,93120,2,inf1946,non-meuble,maison,19.3,23.2,13.5
Verlaine-Routes,93120,2,inf1946,non-meuble,maison,19.395686938963323,23.31340674247505,13.56733525334456
Waldeck Rochet-Quinet Cachin,93120,2,inf1946,non-meuble,maison,19.3,23.2,13.5
Waldeck Rochet-Zone Industrielle,93120,2,inf1946,non-meuble,maison,19.304392992436615,23.205271590923935,13.503221527786849
Boissière,93130,2,inf1946,non-meuble,maison,21.929626978572603,26.316269417149787,15.351897865920355
Centre Ville-Gare,93130,2,inf1946,non-meuble,maison,22.0,26.4,15.4
Centre Ville-Mairie,93130,2,inf1946,non-meuble,maison,22.0,26.4,15.4
Haut Goulet-Jules Auffret,93130,2,inf1946,non-meuble,maison,21.804412674267535,26.16529520912104,15.265882976640597
Langevin,93130,2,inf1946,non-meuble,maison,21.922991572813547,26.307589887376253,15.347194221357858
Londeau,93130,2,inf1946,non-meuble,maison,22.0,26.4,15.4
Léo Lagrange,93130,2,inf1946,non-meuble,maison,22.0,26.4,15.4
Merlan,93130,2,inf1946,non-meuble,maison,21.953760176675193,26.344512212010226,15.36805248570286
Petit Noisy,93130,2,inf1946,non-meuble,maison,21.94644399983799,26.335902597347687,15.362580896830192
Zone Industrielle,93130,2,inf1946,non-meuble,maison,21.98376527234178,26.38053834176021,15.38880757046986
La Mare à la Veuve-La Remise à Jorelle,93140,2,inf1946,non-meuble,maison,16.5,19.8,11.6
Le Mainguy-Le Moulin à Vent,93140,2,inf1946,non-meuble,maison,16.656353065172926,19.987660589215803,11.707935154371846
Le Saule Blanc,93140,2,inf1946,non-meuble,maison,16.5,19.8,11.6
Noue Caillet-Terre Saint Blaise-Les Mérisiers,93140,2,inf1946,non-meuble,maison,16.508315948529344,19.810028055579505,11.605625494593381
Centre Sud-Jules Ferry,93170,2,inf1946,non-meuble,maison,19.80483737845802,23.805777979824857,13.903359290595848
Centre Sud-La Capsulerie,93170,2,inf1946,non-meuble,maison,19.8,23.8,13.9
Centre-Jean Moulin,93170,2,inf1946,non-meuble,maison,19.8,23.8,13.9
Centre-Sadi Carnot,93170,2,inf1946,non-meuble,maison,19.8,23.8,13.9
Coutures-Victor Hugo,93170,2,inf1946,non-meuble,maison,19.79999890012182,23.79999853349576,13.899999266747882
Coutures-Édouard Vaillant,93170,2,inf1946,non-meuble,maison,19.862201599748083,23.873845592107603,13.943285708010023
Dhuys-François Mitterand,93170,2,inf1946,non-meuble,maison,19.797868073034646,23.797157430712865,13.89857871535643
Dhuys-Gallieni,93170,2,inf1946,non-meuble,maison,19.843540115141046,23.852006248640695,13.93023619107017
Dhuys-Hoche,93170,2,inf1946,non-meuble,maison,19.84874579291177,23.858224141533505,13.93385124507762
Dhuys-René Alazard,93170,2,inf1946,non-meuble,maison,19.818773514915225,23.82213522353512,13.913094902547185
La Noue ,93170,2,inf1946,non-meuble,maison,19.8,23.8,13.9
Malassis-Pierre et Marie Curie,93170,2,inf1946,non-meuble,maison,19.8,23.8,13.9
Malassis-Stalingrad,93170,2,inf1946,non-meuble,maison,19.8,23.8,13.9
Plateau-Anatole France,93170,2,inf1946,non-meuble,maison,19.773253077289404,23.76708071051004,13.881482899661897
Plateau-Gambetta,93170,2,inf1946,non-meuble,maison,19.79718576779436,23.79624769039248,13.89812384519624
Plateau-Girardot,93170,2,inf1946,non-meuble,maison,19.8,23.8,13.9
Allende,93200,2,inf1946,non-meuble,maison,18.90567526672258,22.706558931805773,13.204350569925085
Centre Ville-Basilique,93200,2,inf1946,non-meuble,maison,21.98921371526954,26.38712604725719,15.39234521728806
Cosmonautes,93200,2,inf1946,non-meuble,maison,21.966986109844438,26.360872426482295,15.376768003223864
Delaunay Belleville,93200,2,inf1946,non-meuble,maison,18.942775204800114,22.751311270569868,13.229971248765562
Floréal-La Saussaie-La Courtille,93200,2,inf1946,non-meuble,maison,19.225572927385095,23.08776602279909,13.434275232530183
Franc Moisin-Bel Air,93200,2,inf1946,non-meuble,maison,21.993862784392483,26.392739028312587,15.395706749304372
Mutuelle-Barbusse-Saint Rémy- Joliot Curie,93200,2,inf1946,non-meuble,maison,21.106723432371314,25.334255133570377,14.766839998953595
Pleyel,93200,2,inf1946,non-meuble,maison,21.901133527471742,26.28148610619818,15.330137858667056
Péri-Langevin-Stalingrad-Politzer,93200,2,inf1946,non-meuble,maison,21.5230484370979,25.83073523137491,15.06151824568238
République-Gare-Porte de Paris,93200,2,inf1946,non-meuble,maison,20.273382779329665,24.33920062216901,14.174656015070644
Sémard-Delaune-Guynemer,93200,2,inf1946,non-meuble,maison,18.905069529171733,22.707195960607333,13.20466497951235
La Plaine-Stade de France,93210,2,inf1946,non-meuble,maison,22.00380792310939,26.40485726309906,15.40295680947103
Bas Pays,93230,2,inf1946,non-meuble,maison,18.532579895342284,22.2398186351661,13.022457159620942
Cachin,93230,2,inf1946,non-meuble,maison,18.502065439536846,22.20247852744422,13.001416301396697
Carnot,93230,2,inf1946,non-meuble,maison,18.500364829883964,22.200449021378425,13.000252574539358
Centre,93230,2,inf1946,non-meuble,maison,18.50289984847285,22.203479818167416,13.002029893930994
Cité,93230,2,inf1946,non-meuble,maison,18.50187587029448,22.20225104435337,13.001313109206135
Communes,93230,2,inf1946,non-meuble,maison,18.56732985881997,22.281748781930478,13.046376490332277
Grands Champs,93230,2,inf1946,non-meuble,maison,18.68612620328006,22.42364415380034,13.127692120077242
Ormes,93230,2,inf1946,non-meuble,maison,18.511259701818602,22.213852847960972,13.007796489828358
Parcs,93230,2,inf1946,non-meuble,maison,18.50921200887343,22.211146534323735,13.006336546872273
ZAC,93230,2,inf1946,non-meuble,maison,18.5,22.2,13.0
L'Avenir,93240,2,inf1946,non-meuble,maison,16.500360269787457,19.800437470456195,11.600244468784346
L'Avenir-La Cerisaie,93240,2,inf1946,non-meuble,maison,16.567782953589475,19.881905401898628,11.64519063501567
La Cité-Jardin,93240,2,inf1946,non-meuble,maison,16.5,19.8,11.6
Le Bois Moussay-Les Parouzets,93240,2,inf1946,non-meuble,maison,16.50466865264799,19.805669078215416,11.603001276702278
Le Clos Saint Lazare,93240,2,inf1946,non-meuble,maison,16.50365076608177,19.80442511547104,11.60237875156558
Le Globe-Allende,93240,2,inf1946,non-meuble,maison,16.53102418352416,19.837487555091695,11.620682789016108
Le Maroc,93240,2,inf1946,non-meuble,maison,16.51458169074574,19.817706338762683,11.609373944050832
Le Vieux Stains-Bordes,93240,2,inf1946,non-meuble,maison,16.5,19.8,11.6
Prêtresse,93240,2,inf1946,non-meuble,maison,16.5,19.8,11.6
Convention,93260,2,inf1946,non-meuble,maison,19.513640080085583,23.418186773447445,13.709093386723723
Croix de l'Epinette,93260,2,inf1946,non-meuble,maison,19.469478898110573,23.363410992656767,13.678626149946378
Jalancloud,93260,2,inf1946,non-meuble,maison,19.500004000671225,23.4000053342283,13.70000266711415
L'Avenir,93260,2,inf1946,non-meuble,maison,19.494697423815687,23.39398935308232,13.69620008554511
L'Eglise,93260,2,inf1946,non-meuble,maison,19.5,23.4,13.7
La Mairie,93260,2,inf1946,non-meuble,maison,19.5,23.4,13.7
Le Fort,93260,2,inf1946,non-meuble,maison,19.32448573099129,23.19065204205648,13.576822720477171
Les Bruyeres,93260,2,inf1946,non-meuble,maison,19.703616461693407,23.645421446691056,13.840957741575632
Les Sentes,93260,2,inf1946,non-meuble,maison,19.495321406374604,23.394385687649528,13.696724984462223
Villegranges,93260,2,inf1946,non-meuble,maison,19.737090937757557,23.686407185921688,13.864003438056049
Centre Ville,93300,2,inf1946,non-meuble,maison,20.793691949841495,24.992430339809793,14.59537409655043
Cochennec Péri,93300,2,inf1946,non-meuble,maison,20.79814692667834,24.997776312014004,14.598684927489094
Condorcet,93300,2,inf1946,non-meuble,maison,20.799794486704315,24.999753384045178,14.599856140693019
Emile Dubois,93300,2,inf1946,non-meuble,maison,20.79956592410105,24.99947910892126,14.599696146870732
Firmin Genier,93300,2,inf1946,non-meuble,maison,20.8,25.0,14.6
Landy,93300,2,inf1946,non-meuble,maison,20.876360688513063,25.089073808533914,14.650879802879393
Paul Bert,93300,2,inf1946,non-meuble,maison,20.798319438316316,24.997983325979575,14.598823606821421
Plaine Marcreux Pressensé,93300,2,inf1946,non-meuble,maison,20.806072183814457,25.007169629829292,14.604133537922063
Robespierre,93300,2,inf1946,non-meuble,maison,20.72861415018729,24.91433698022475,14.547650376804013
Sadi Carnot,93300,2,inf1946,non-meuble,maison,20.8,25.0,14.6
Vallès La Frette,93300,2,inf1946,non-meuble,maison,20.8,25.0,14.6
Villette Quatre Chemin,93300,2,inf1946,non-meuble,maison,21.052684599362035,25.301265938910557,14.77492363922954
Anatole France,93310,2,inf1946,non-meuble,maison,19.80230470561671,23.80275284281996,13.901600490011605
Arpents,93310,2,inf1946,non-meuble,maison,20.000059609985264,24.038960089704617,14.038930284711988
Belvedere,93310,2,inf1946,non-meuble,maison,20.47528076103239,24.60480474379799,14.369301094870632
Centre,93310,2,inf1946,non-meuble,maison,19.81087008980235,23.812983718375026,13.907548673473853
Gabriel Peri,93310,2,inf1946,non-meuble,maison,19.8,23.8,13.9
Severine,93310,2,inf1946,non-meuble,maison,19.783881736468466,23.778508981957955,13.889254490978978
Stalingrad,93310,2,inf1946,non-meuble,maison,19.8,23.8,13.9
Butte Pinson,93380,2,inf1946,non-meuble,maison,17.9,21.5,12.5
Centre Ville,93380,2,inf1946,non-meuble,maison,17.905523621902383,21.50670725516718,12.503945444215988
Gare,93380,2,inf1946,non-meuble,maison,17.882413231391684,21.478644638118475,12.488694220180369
Joncherolles-Fauvettes,93380,2,inf1946,non-meuble,maison,17.928898893671345,21.53495910719909,12.52051048620299
Maroc,93380,2,inf1946,non-meuble,maison,17.87017809869527,21.463787691272827,12.480828777732674
Nord,93380,2,inf1946,non-meuble,maison,17.89992424313914,21.499908009526095,12.499951299160875
Potier,93380,2,inf1946,non-meuble,maison,17.9,21.5,12.5
Sud,93380,2,inf1946,non-meuble,maison,17.908876127684945,21.510489922103236,12.506859013854253
Debain-Michelet-Bauer,93400,2,inf1946,non-meuble,maison,19.762852290179854,23.676362930416147,13.843702945484742
Dock Saint Ouen,93400,2,inf1946,non-meuble,maison,19.69087100342324,23.589729878851152,13.793153252567434
Garibaldi-Ottino-Porte de Saint Ouen,93400,2,inf1946,non-meuble,maison,19.718292760656446,23.62202696004432,13.812694137321374
Hugo-Payret-Zola,93400,2,inf1946,non-meuble,maison,19.940900864758316,23.891616836286385,13.96905323842689
Marie-Godillot-Landy,93400,2,inf1946,non-meuble,maison,19.700533090037542,23.60064897917614,13.800370845243508
Rosiers-Les Puces,93400,2,inf1946,non-meuble,maison,19.80982025666411,23.732232553942502,13.876201810746526
Vieux Saint Ouen,93400,2,inf1946,non-meuble,maison,19.726311488901178,23.63331302790376,13.817549732622979
Bernard Lama,93430,2,inf1946,non-meuble,maison,19.275724741851977,23.170522900820256,13.482660529894268
Jules Ferry,93430,2,inf1946,non-meuble,maison,19.302093183219675,23.20244204708962,13.501395455479782
Marcel Sembat,93430,2,inf1946,non-meuble,maison,19.301163424560606,23.20135363845089,13.500771926170588
Maurice Grandcoing,93430,2,inf1946,non-meuble,maison,19.3,23.2,13.5
Paul Langevin,93430,2,inf1946,non-meuble,maison,19.304326637182154,23.20504774337918,13.502884424788101
Centre,93450,2,inf1946,non-meuble,maison,18.9,22.7,13.2
Nord,93450,2,inf1946,non-meuble,maison,18.90435147621664,22.705221771459964,13.203046033351647
Sud,93450,2,inf1946,non-meuble,maison,18.9,22.7,13.2
Courtillères,93500,2,inf1946,non-meuble,maison,19.833269065939547,23.83971251263289,13.922541442825208
Haut Pantin-Charles Auray,93500,2,inf1946,non-meuble,maison,19.783107286933664,23.779138827424216,13.88830729508333
Mairie-Ourcq,93500,2,inf1946,non-meuble,maison,20.032611791946962,24.077841862603314,14.061535966629833
Ourcq-Hoche,93500,2,inf1946,non-meuble,maison,19.8,23.8,13.9
Petit Pantin-Haut Pantin,93500,2,inf1946,non-meuble,maison,19.796668038359837,23.795557384479785,13.897778692239893
Quatre Chemins-Diderot,93500,2,inf1946,non-meuble,maison,19.805859405195353,23.807031286234423,13.904101583636747
Quatre Chemins-Jaurès,93500,2,inf1946,non-meuble,maison,19.82064971464111,23.824519011329876,13.913806131095825
Église-Sept Arpents,93500,2,inf1946,non-meuble,maison,19.816099697767648,23.8192301945558,13.911180345671978
Blumenthal-La Biche,93800,2,inf1946,non-meuble,maison,19.865081717929435,23.85815140025797,13.875611053364286
Félix Merlin,93800,2,inf1946,non-meuble,maison,19.891089304205497,23.8893071650466,13.89376251294385
Gallieni-De Lattre de Tassigny,93800,2,inf1946,non-meuble,maison,19.9,23.9,13.9
Les Mobiles-Maison de Santé,93800,2,inf1946,non-meuble,maison,19.821007770078953,23.805209324094744,13.84470543905527
Ormesson-Jean Jaurès,93800,2,inf1946,non-meuble,maison,19.9,23.9,13.9
Saint Leu-Commandant Louis Bouchet,93800,2,inf1946,non-meuble,maison,19.89971315684534,23.8996653496529,13.89980877123023
Les Halles,75001,2,1946-1970,meuble,appartement,30.199708665264005,36.19977660599151,21.100080032952867
Palais Royal,75001,2,1946-1970,meuble,appartement,31.49270140591167,37.791020494818866,22.0943933015191
Saint Germain l'Auxerrois,75001,2,1946-1970,meuble,appartement,31.498360242377192,37.797981836771925,22.098738647982454
Seine et Berges,75001,2,1946-1970,meuble,appartement,31.682464978629433,38.01895797435531,22.224076185468014
Vendôme,75001,2,1946-1970,meuble,appartement,31.5,37.8,22.1
Montorgueil-Saint Denis,75002,2,1946-1970,meuble,appartement,27.2490258296423,32.65883099557076,19.03431808074961
Sentier-Bonne Nouvelle,75002,2,1946-1970,meuble,appartement,27.206963820688095,32.608356584825714,19.00487467448167
Vivienne-Gaillon,75002,2,1946-1970,meuble,appartement,29.053508819763685,34.841392029446475,20.336114426727192
Archives,75003,2,1946-1970,meuble,appartement,27.20263963515627,32.60319357429065,19.00190403375671
Arts et Métiers,75003,2,1946-1970,meuble,appartement,27.20123362773536,32.6015420346692,19.000925220801523
Enfants Rouges,75003,2,1946-1970,meuble,appartement,27.199999026652765,32.599999973822854,19.00000046049647
Sainte Avoie,75003,2,1946-1970,meuble,appartement,27.25020464637743,32.66063051637665,19.036009369092604
Arsenal,75004,2,1946-1970,meuble,appartement,31.277972505356797,37.533377040990445,21.94127324279935
Saint Gervais,75004,2,1946-1970,meuble,appartement,27.225654871674244,32.63102449597816,19.018495372602363
Saint Merri,75004,2,1946-1970,meuble,appartement,31.481428152069626,37.77744316212334,22.086390810638267
Seine et Berges,75004,2,1946-1970,meuble,appartement,30.251106816933238,36.28971083733404,21.199635338533852
Île Saint Louis,75004,2,1946-1970,meuble,appartement,31.5,37.8,22.1
Île de la Cité,75004,2,1946-1970,meuble,appartement,31.153570113604225,37.38106153273068,21.850248221435606
Jardin des Plantes,75005,2,1946-1970,meuble,appartement,26.606071588366937,31.907083519761425,18.60404772557796
Saint Victor,75005,2,1946-1970,meuble,appartement,27.197118267217352,32.59663797842024,18.998078844811566
Sorbonne,75005,2,1946-1970,meuble,appartement,27.20402228586315,32.60486415964846,19.002899787482736
Val de Grace,75005,2,1946-1970,meuble,appartement,27.262673086474013,32.67565002562169,19.044706994104885
Monnaie,75006,2,1946-1970,meuble,appartement,31.49497927069859,37.793928420379686,22.096380404457125
Notre Dame des Champs,75006,2,1946-1970,meuble,appartement,33.97866586877962,40.774294109548414,23.785188485107483
Odéon,75006,2,1946-1970,meuble,appartement,31.49884920575288,37.79854794373933,22.098904605989844
Rennes,75006,2,1946-1970,meuble,appartement,33.98537686991239,40.78245224389487,23.790056271540433
Saint Germain des Prés,75006,2,1946-1970,meuble,appartement,31.516428861999444,37.81971463439933,22.111171626159624
Saint Placide,75006,2,1946-1970,meuble,appartement,33.969395516168085,40.76330534318638,23.778328224740868
Ecole Militaire,75007,2,1946-1970,meuble,appartement,33.92188465156776,40.70654728948656,23.74489069468955
Gros Caillou,75007,2,1946-1970,meuble,appartement,33.99552169116303,40.79462602939563,23.79686518381412
Invalides,75007,2,1946-1970,meuble,appartement,34.0,40.8,23.8
Saint Thomas d'Aquin,75007,2,1946-1970,meuble,appartement,33.984559814291465,40.781471777149754,23.789500673718198
Seine et Berges,75007,2,1946-1970,meuble,appartement,32.972035183821546,39.56644222058585,23.08891034142779
Elysées-Madeleine,75008,2,1946-1970,meuble,appartement,31.5,37.8,22.1
Europe,75008,2,1946-1970,meuble,appartement,31.920436631456596,38.30412387621275,22.3441843136753
Hoche-Friedland,75008,2,1946-1970,meuble,appartement,31.500738652329563,37.800912260542226,22.100132658436713
Mairie,75008,2,1946-1970,meuble,appartement,31.9054658408438,38.286511993970315,22.339992216597572
Parc Monceau,75008,2,1946-1970,meuble,appartement,31.970067271651853,38.36434316455317,22.378891100139832
Saint Philippe du Roule,75008,2,1946-1970,meuble,appartement,31.61936867493833,37.94324240992599,22.171621204962996
Triangle d'Or,75008,2,1946-1970,meuble,appartement,31.501789494237453,37.80214739308494,22.10107369654247
Clichy-Trinité,75009,2,1946-1970,meuble,appartement,30.158224805119346,36.15051104286455,21.072173586082148
Lafayette-Richer,75009,2,1946-1970,meuble,appartement,30.387505963939617,36.43271485587795,21.24859649784615
Lorette-Martyrs,75009,2,1946-1970,meuble,appartement,30.202697955940064,36.20332056115701,21.102075350723126
Provence Opéra,75009,2,1946-1970,meuble,appartement,31.499855386249976,37.79982201384612,22.09988875865383
Trudaine-Maubeuge,75009,2,1946-1970,meuble,appartement,30.09229833173885,36.07167664802024,21.026671000589058
Chateau d'Eau-Lancry,75010,2,1946-1970,meuble,appartement,27.999760139719427,33.59862820983349,19.59874813997377
Faubourg du Temple-Hôpital Saint Louis,75010,2,1946-1970,meuble,appartement,28.0,33.6,19.6
Grange Aux Belles-Terrage,75010,2,1946-1970,meuble,appartement,28.04726424947855,33.655531776948784,19.63197163961857
Louis Blanc-Aqueduc,75010,2,1946-1970,meuble,appartement,29.85398968365211,35.79064897734006,20.863851099544704
Porte Saint Denis-Paradis,75010,2,1946-1970,meuble,appartement,30.19586960084432,36.19504352101319,21.097108720591027
Saint Vincent de Paul-Lariboisière,75010,2,1946-1970,meuble,appartement,30.176777874534565,36.17255566990449,21.084166732637204
Bastille-Popincourt,75011,2,1946-1970,meuble,appartement,27.619668775974276,33.13815991171647,19.328333662459144
Belleville-Saint Maur,75011,2,1946-1970,meuble,appartement,27.318216870001095,32.77217069730555,19.113062262305
Léon-Blum Folie-Regnault,75011,2,1946-1970,meuble,appartement,27.889549313901696,33.46588579586211,19.52111113891126
Nation-Alexandre Dumas,75011,2,1946-1970,meuble,appartement,26.582897311276476,31.879571292061446,18.58850833062559
République-Saint Ambroise,75011,2,1946-1970,meuble,appartement,27.225043714348857,32.658730810026825,19.046208952852396
Aligre-Gare de Lyon,75012,2,1946-1970,meuble,appartement,28.030045120937462,33.63595117240031,19.621607562950953
Bel-Air Nord,75012,2,1946-1970,meuble,appartement,24.60135054171943,29.501741962828206,17.201506933365213
Bel-Air Sud,75012,2,1946-1970,meuble,appartement,24.77659383821409,29.715836913372776,17.3373507630554
Bercy,75012,2,1946-1970,meuble,appartement,24.606604674619792,29.50805194063979,17.205047035564032
Bois de Vincennes,75012,2,1946-1970,meuble,appartement,25.087678638726437,30.096051669554537,17.57930560789834
Jardin de Reuilly,75012,2,1946-1970,meuble,appartement,25.16160296004395,30.186348727688223,17.636560785625992
Nation-Picpus,75012,2,1946-1970,meuble,appartement,25.490799687829064,30.588653202099298,17.892487299945817
Seine et Berges,75012,2,1946-1970,meuble,appartement,26.209232387177778,31.43592083787904,18.345998331442228
Vallée de Fécamp,75012,2,1946-1970,meuble,appartement,25.498059809795272,30.597628656416447,17.8984909631741
Bièvres Sud Tolbiac,75013,2,1946-1970,meuble,appartement,26.802471570203203,32.2028834985704,18.801647713468803
Buttes Aux Cailles-Glacière,75013,2,1946-1970,meuble,appartement,26.94390021278977,32.369066901441784,18.897119588066328
Croulebarbe,75013,2,1946-1970,meuble,appartement,30.183838709294065,36.18062932647698,21.088709971829946
Dunois-Bibliothèque-Jeanne-d'Arc,75013,2,1946-1970,meuble,appartement,23.14898179913883,27.758778158966596,16.233587519409483
Nationale-Deux Moulins,75013,2,1946-1970,meuble,appartement,23.152550683662806,27.763069728367736,16.236044086673164
Olympiades-Choisy,75013,2,1946-1970,meuble,appartement,24.63740215912053,29.569813436768214,17.28033665235497
Patay-Masséna,75013,2,1946-1970,meuble,appartement,23.1,27.7,16.2
Salpêtrière-Austerlitz,75013,2,1946-1970,meuble,appartement,26.60225369533609,31.90268153122345,18.601587523698523
Didot-Porte de Vanves,75014,2,1946-1970,meuble,appartement,26.78799563993817,32.18199345990726,18.78799563993817
Jean Moulin-Porte d'Orléans,75014,2,1946-1970,meuble,appartement,26.615492574302763,31.918880707071803,18.61113441992043
Montsouris Dareau,75014,2,1946-1970,meuble,appartement,28.002019147356943,33.60245580999926,19.60144623632079
Mouton Duvernet,75014,2,1946-1970,meuble,appartement,27.24816655061732,32.67875804893383,19.054674773625173
Pernety,75014,2,1946-1970,meuble,appartement,27.10249228553826,32.55337704170621,18.99687196690506
Raspail-Montparnasse,75014,2,1946-1970,meuble,appartement,29.834740304362157,35.77118924123537,20.85287614946334
Alleray Procession,75015,2,1946-1970,meuble,appartement,27.251861749795946,32.690135454298115,19.054327886221415
Cambronne-Garibaldi,75015,2,1946-1970,meuble,appartement,29.87483561582978,35.86949647155245,20.882646350454966
Citroën-Boucicaut,75015,2,1946-1970,meuble,appartement,28.0,33.6,19.6
Dupleix-Motte Picquet,75015,2,1946-1970,meuble,appartement,28.016512407868092,33.619819234897925,19.611552167323342
Emeriau-Zola,75015,2,1946-1970,meuble,appartement,28.0,33.6,19.6
Georges Brassens,75015,2,1946-1970,meuble,appartement,26.600662149404585,31.900943096490465,18.60060938349258
Pasteur Montparnasse,75015,2,1946-1970,meuble,appartement,29.895063377684608,35.89410790239776,20.896655836496027
