conseil_de_quartier,rooms,epoque,furnished,housingType,ref,refmaj,refmin
BEL - AIR SUD,1,inf1946,meuble,maison,29.493679092330787,35.41241491079694,20.663701782784933
LOUVRE - OPERA,1,inf1946,meuble,maison,38.4105761114325,46.123586283814774,26.929679455522784
VALLEE DE FECAMP,1,inf1946,meuble,maison,31.875134304894225,38.27016116587306,22.283091327328073
CAMBRONNE - GARIBALDI,1,inf1946,meuble,maison,34.40005383526611,41.30006338135036,24.100038141865923
HALLES - BEAUBOURG - MONTORGUEIL,1,inf1946,meuble,maison,36.80834641755024,44.17594338168239,25.814360572129644
MUETTE NORD,1,inf1946,meuble,maison,33.60000996393506,40.30001195672207,23.500007085464926
PORTE DES LILAS,1,inf1946,meuble,maison,31.094018691109802,37.29288699276597,21.795796872216577
EMERIAU - ZOLA,1,inf1946,meuble,maison,33.5,40.2,23.5
PORTE SAINT-DENIS - PARADIS,1,inf1946,meuble,maison,35.499922772128926,42.59990533534025,24.899943949275794
GEORGES BRASSENS,1,inf1946,meuble,maison,32.30006131357789,38.800073576293464,22.600042919504524
MONTMARTRE,1,inf1946,meuble,maison,31.900072284407383,38.30008633970882,22.300052205405336
ROSA PARKS - MACDONALD,1,inf1946,meuble,maison,31.064458966997066,37.25730448996508,21.774791521238015
REUNION - PERE LACHAISE,1,inf1946,meuble,maison,30.132062086543122,36.16125146767513,21.116748829478333
FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS,1,inf1946,meuble,maison,33.69991187075134,40.39989547461206,23.59993851447768
SAINT BLAISE,1,inf1946,meuble,maison,31.097886767220412,37.29748287446875,21.798512907539425
PEREIRE - MALESHERBES,1,inf1946,meuble,maison,34.4,41.3,24.1
REPUBLIQUE - SAINT-AMBROISE,1,inf1946,meuble,maison,34.087902948863146,40.898723643867314,23.877073098954412
PERNETY,1,inf1946,meuble,maison,35.20951027735501,42.28940098504392,24.639674215821643
EUROPE,1,inf1946,meuble,maison,33.60066037570202,40.30080039973353,23.500471920818544
GROS CAILLOU,1,inf1946,meuble,maison,38.09989316344133,45.69987218425404,26.69992502222136
GRANDES CARRIERES - CLICHY,1,inf1946,meuble,maison,31.900058270831355,38.3000688373271,22.300042056172327
MAIRIE,1,inf1946,meuble,maison,34.1742544486899,40.995731721551294,23.908604497206344
SEINE,1,inf1946,meuble,maison,38.58780660051113,46.33883966071928,27.05309622482341
MONNAIE,1,inf1946,meuble,maison,38.799970015504094,46.599963096005034,27.199979241502835
BASTILLE - POPINCOURT,1,inf1946,meuble,maison,33.89132209819478,40.64598295117424,23.73665834972258
BELLEVILLE,1,inf1946,meuble,maison,33.40986555078551,40.05407570820919,23.399133194310135
AMANDIERS - MENILMONTANT,1,inf1946,meuble,maison,29.401188445281175,35.30141083545488,20.60082936188307
BERCY,1,inf1946,meuble,maison,29.400285697620603,35.300341565612605,20.600195762011285
ECOLE MILITAIRE,1,inf1946,meuble,maison,38.0998997359512,45.699880674432556,26.69992964524869
MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT,1,inf1946,meuble,maison,31.895800741346303,38.294958494817614,22.297062115474382
BATIGNOLLES,1,inf1946,meuble,maison,34.27632711673964,41.14099551585641,24.011661373311625
MONCEAU,1,inf1946,meuble,maison,33.826071822957395,40.57389472369288,23.66085881221418
ANVERS - MONTHOLON,1,inf1946,meuble,maison,35.49995355783651,42.599944527415836,24.89996645843748
MOUTON - DUVERNET,1,inf1946,meuble,maison,34.67762771316194,41.63125513389712,24.297186433798093
VAL DE GRACE,1,inf1946,meuble,maison,37.49842385283494,44.99811880176641,26.298881470766446
OPERA - CHAUSSEE D'ANTIN,1,inf1946,non-meuble,appartement,33.931429987761774,40.717243430023686,23.75270982436891
OLYMPIADES - CHOISY,1,inf1946,non-meuble,appartement,27.62647750353193,33.188243517713644,19.32941662410352
SORBONNE,1,inf1946,non-meuble,appartement,32.900002852378115,39.5000033675124,23.000002076486766
LA CHAPELLE - MARX DORMOY,1,inf1946,non-meuble,appartement,27.735799776733078,33.31159140906054,19.403165591909925
ELYSEES - MADELEINE,1,inf1946,non-meuble,appartement,33.77376442485138,40.52851730982165,23.64414882600873
DANUBE,1,inf1946,non-meuble,appartement,27.2989424395806,32.79871979528178,19.09927640602883
FLANDRE - AUBERVILLIERS,1,inf1946,non-meuble,appartement,27.3000233335855,32.800027631214974,19.100016578169466
SAINT - VICTOR,1,inf1946,non-meuble,appartement,32.89012840753549,39.487934117510285,22.993053675460956
CROULEBARBE,1,inf1946,non-meuble,appartement,31.09993182592829,37.299917091955514,21.799944268208105
EPINETTES - BESSIERES,1,inf1946,non-meuble,appartement,29.594290918863322,35.49312820232505,20.696031436209356
SAINT - PLACIDE,1,inf1946,non-meuble,appartement,33.399988798732736,40.09998634845552,23.399991949089152
SAINT - THOMAS D'AQUIN,1,inf1946,non-meuble,appartement,33.40003398176747,40.1000396453954,23.400022654511652
